,incident_num,date_time,day_of_week,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address_dir_intersecting,address_road_intersecting,address_sfx_intersecting,call_type,disposition,beat,priority,address_number_primary_str,Address,lat,lng,zipcode,Zipcodes
23429,E23010025139,2023-01-18 17:25:01,4,2900,,A,ST,,,,415,K,517,2,2900,"2900 A ST San Diego, California",32.7189944,-117.1320385,1704,92102
23430,E23010025141,2023-01-18 17:25:09,4,5900,,UNIVERSITY,AVE,,,,HZRD,K,823,1,5900,"5900 UNIVERSITY AVE San Diego, California",32.750251,-117.070386,92115,92115
23431,E23010025142,2023-01-18 17:25:51,4,7200,,JACMAR,AVE,,,,1021,K,436,3,7200,"7200 JACMAR AVE San Diego, California",32.7093142,-117.0427029,4641,92114
23432,E23010025143,2023-01-18 17:27:02,4,0,,07TH,AVE,,MARKET,,415V,K,524,1,,"07TH AVE San Diego, California",32.7156744,-117.1583393,92101,92101
23433,E23010025145,2023-01-18 17:30:53,4,6200,,BOUGAINVILLE,RD,,,,1151,K,438,2,6200,"6200 BOUGAINVILLE RD San Diego, California",32.6859647,-117.0567029,92139,92139
23434,E23010025146,2023-01-18 17:31:01,4,0,,TORREY PINES,RD,,POTTERY PARK DRWY,,CW,K,124,1,,"TORREY PINES RD San Diego, California",32.8505157,-117.2550565,92037,02037
23435,E23010025147,2023-01-18 17:31:41,4,3100,,EL CAJON,BLV,,,,245-SUSP,A,813,1,3100,"3100 EL CAJON BLV San Diego, California",32.7554086,-117.127708,92104,92104
23436,E23010025149,2023-01-18 17:33:33,4,4800,,GENESEE,AVE,,,,T,CAN,114,2,4800,"4800 GENESEE AVE San Diego, California",32.8319142,-117.1948625,2929,92117
23437,E23010025150,2023-01-18 17:33:48,4,0,,MISSION,BLV,,PACIFIC BEACH,,AU23152,W,121,2,,"MISSION BLV San Diego, California",32.7843982,-117.2528516,92109,92109
23438,E23010025151,2023-01-18 17:33:59,4,3900,,MARLBOROUGH,AVE,,,,FU,K,834,2,3900,"3900 MARLBOROUGH AVE San Diego, California",32.7488854,-117.105988,2523,92105
23439,E23010025152,2023-01-18 17:35:31,4,8600,,VERLANE,DR,,,,20002R,R,324,3,8600,"8600 VERLANE DR San Diego, California",32.8046234,-117.0118738,92119,92119
23440,E23010025153,2023-01-18 17:36:29,4,0,W,WASHINGTON,ST,,ALBATROSS,,1147,CAN,627,0,,"W WASHINGTON ST San Diego, California",32.7445441,-117.1803071,United States,92103
23441,E23010025154,2023-01-18 17:39:00,4,6900,,PARKSIDE,AVE,,,,1087,K,437,2,6900,"6900 PARKSIDE AVE San Diego, California",32.674494,-117.0430925,92139,91977
23442,E23010025155,2023-01-18 17:39:33,4,4500,,MONROE,AVE,,,,1146,R,824,0,4500,"4500 MONROE AVE San Diego, California",32.7590652,-117.097791,3106,92115
23443,E23010025156,2023-01-18 17:40:09,4,1200,,IMPERIAL,AVE,,,,1140OD,K,541,0,1200,"1200 IMPERIAL AVE San Diego, California",32.7062869,-117.1534368,92101,92101
23444,E23010025157,2023-01-18 17:42:11,4,4100,,UTAH,ST,,,,586,O,813,4,4100,"4100 UTAH ST San Diego, California",32.7523312,-117.1329291,92104,92104
23445,E23010025158,2023-01-18 17:42:39,4,0,,EL CAJON,BLV,,PARK,,AU23103,K,624,2,,"EL CAJON BLV San Diego, California",32.7573075,-117.0836113,United States,92115
23446,E23010025159,2023-01-18 17:42:53,4,5900,,UNIVERSITY,AVE,,,,911,CAN,823,1,5900,"5900 UNIVERSITY AVE San Diego, California",32.750251,-117.070386,92115,92115
23447,E23010025160,2023-01-18 17:44:41,4,2300,,MICHAEL FARADAY,DR,,,,459A,U,713,3,2300,"2300 MICHAEL FARADAY DR San Diego, California",32.5567204,-116.9320034,92154,92154
23448,E23010025161,2023-01-18 17:45:03,4,2600,,EAST BEYER,BLV,,,,10851RR,S,712,3,2600,"2600 EAST BEYER BLV San Diego, California",32.5524044,-117.0393944,2710,92173
23449,E23010025162,2023-01-18 17:45:50,4,900,,EMERALD,ST,,,,415PP,K,122,2,900,"900 EMERALD ST San Diego, California",32.7988409,-117.2542045,92109,92109
23450,E23010025163,2023-01-18 17:45:54,4,3800,,DELTA,ST,,,,T,K,443,2,3800,"3800 DELTA ST San Diego, California",32.6887173,-117.1120875,4204,92113
23451,E23010025164,2023-01-18 17:46:08,4,3800,,CARSON,ST,,,,HZRD,K,113,2,3800,"3800 CARSON ST San Diego, California",32.8109662,-117.2065476,92117,92117
23452,E23010025165,2023-01-18 17:46:58,4,100,,12TH,AVE,,,,FD,DUP,541,2,100,"100 12TH AVE San Diego, California",32.7104495,-117.1538517,92101,92101
23453,E23010025166,2023-01-18 17:47:42,4,0,,DIVISION,ST,,VALENCIA,,T,K,439,2,,"DIVISION ST San Diego, California",32.689412,-117.085566,United States,91950
23454,E23010025167,2023-01-18 17:48:30,4,10600,,WEXFORD,ST,,,,911,CAN,246,1,10600,"10600 WEXFORD ST San Diego, California",32.938488,-117.0980892,92131,92131
23455,E23010025168,2023-01-18 17:50:17,4,1000,,KETTNER,BLV,,,,INFO,W,522,2,1000,"1000 KETTNER BLV San Diego, California",32.7157873,-117.1692095,92101,92101
23456,E23010025169,2023-01-18 17:55:21,4,8700,,COSTA VERDE,BLV,,,,AU2,O,115,2,8700,"8700 COSTA VERDE BLV San Diego, California",32.8671286,-117.2165448,92122,92122
23457,E23010025171,2023-01-18 17:57:12,4,2100,,PAN AMERICAN,PL,,,,1185,R,531,3,2100,"2100 PAN AMERICAN PL San Diego, California",32.7288457,-117.1522113,1683,92134
23458,E23010025172,2023-01-18 17:57:28,4,4400,,FANUEL,ST,,,,602,K,122,2,4400,"4400 FANUEL ST San Diego, California",32.7968102,-117.2458172,92109,92109
23459,E23010025173,2023-01-18 17:57:34,4,1000,,09TH,AVE,,,,INFO,W,524,2,1000,"1000 09TH AVE San Diego, California",32.7157548,-117.1565103,92101,92101
23460,E23010025174,2023-01-18 17:57:56,4,5000,,IMPERIAL,AVE,,,,SELENF,K,446,3,5000,"5000 IMPERIAL AVE San Diego, California",32.7041345,-117.0867701,2084,92102
23461,E23010025175,2023-01-18 17:58:19,4,3800,,DEMUS,ST,,,,415,R,823,2,3800,"3800 DEMUS ST San Diego, California",32.7476538,-117.0645919,6510,92115
23462,E23010025176,2023-01-18 17:59:15,4,900,,HOTEL CIRCLE SOUTH,,,,,MPSSTP,K,623,2,900,"900 HOTEL CIRCLE SOUTH San Diego, California",32.759391,-117.1770078,92108,92103
23463,E23010025177,2023-01-18 17:59:33,4,1600,,FRONT,ST,,,,SELENF,K,528,3,1600,"1600 FRONT ST San Diego, California",32.7219687,-117.1647676,2920,92101
23464,E23010025178,2023-01-18 18:01:16,4,300,,10TH,AVE,,,,459R,R,521,3,300,"300 10TH AVE San Diego, California",32.7086765,-117.1560801,92101,92101
23465,E23010025179,2023-01-18 18:01:20,4,300,,HILL (SB),ST,,,,RJ,K,712,2,300,"300 HILL (SB) ST San Diego, California",32.5659757,-117.066729,92173,92173
23466,E23010025180,2023-01-18 18:03:23,4,3700,,ALTADENA,AVE,,,,451,O,827,1,3700,"3700 ALTADENA AVE San Diego, California",32.7459739,-117.0859648,3687,92105
23467,E23010025181,2023-01-18 18:04:06,4,1300,E,04TH,ST,,,,AU2,W,521,2,1300,"1300 E 04TH ST San Diego, California",32.683018,-117.094963,91950,91950
23468,E23010025182,2023-01-18 18:04:20,4,600,,69TH,ST,,,,SELENF,K,436,3,600,"600 69TH ST San Diego, California",32.7113805,-117.0496397,4417,92114
23469,E23010025183,2023-01-18 18:04:28,4,6300,,UNIVERSITY,AVE,,,,11-8,K,821,0,6300,"6300 UNIVERSITY AVE San Diego, California",32.7542686,-117.0599499,5813,92115
23470,E23010025184,2023-01-18 18:05:08,4,4000,,BEYER,BLV,,,,1130,K,712,1,4000,"4000 BEYER BLV San Diego, California",32.5584324,-117.0480235,2007,92173
23471,E23010025185,2023-01-18 18:06:41,4,7100,,CAMINITO CRUZADA,,,,,459A,K,124,2,7100,"7100 CAMINITO CRUZADA San Diego, California",32.837244,-117.2518461,5706,92037
23472,E23010025186,2023-01-18 18:06:59,4,700,,06TH,AVE,,,,SELENF,K,524,3,700,"700 06TH AVE San Diego, California",32.7125892,-117.1592248,7027,92101
23473,E23010025187,2023-01-18 18:07:12,4,2800,,ARBODAR,RD,,,,RJ,K,722,2,2800,"2800 ARBODAR RD San Diego, California",32.5596495,-117.0714598,4257,92154
23474,E23010025188,2023-01-18 18:07:15,4,7000,,FRIARS,RD,,,,MPSSTP,K,623,2,7000,"7000 FRIARS RD San Diego, California",32.769451,-117.1702178,5107,92108
23475,E23010025189,2023-01-18 18:08:02,4,7200,,JACMAR,AVE,,,,CW,K,436,1,7200,"7200 JACMAR AVE San Diego, California",32.7093142,-117.0427029,4641,92114
23476,E23010025190,2023-01-18 18:08:12,4,5100,,CHURCHWARD,ST,,,,T,K,432,2,5100,"5100 CHURCHWARD ST San Diego, California",32.7043168,-117.0843731,3718,91950
23477,E23010025191,2023-01-18 18:08:25,4,1100,,01ST,AVE,,,,SELENF,O,524,3,1100,"1100 01ST AVE San Diego, California",32.7160449,-117.1639757,92101,92101
23478,E23010025192,2023-01-18 18:11:22,4,2400,,HOTEL CIRCLE NORTH,,,,,MPSSTP,K,623,2,2400,"2400 HOTEL CIRCLE NORTH San Diego, California",32.7598862,-117.1857047,92108,92108
23479,E23010025193,2023-01-18 18:11:24,4,2400,,HOTEL CIRCLE NORTH,,,,,MPSSTP,K,623,2,2400,"2400 HOTEL CIRCLE NORTH San Diego, California",32.7598862,-117.1857047,92108,92108
23480,E23010025194,2023-01-18 18:11:35,4,0,,GILMAN,DR,,I-5,,HZRD,K,124,1,,"GILMAN DR San Diego, California",32.8646251,-117.2363106,United States,92161
23481,E23010025195,2023-01-18 18:11:39,4,9200,,AERO,DR,,,,MTG,K,311,4,9200,"9200 AERO DR San Diego, California",32.8098601,-117.1317758,92123,92123
23482,E23010025197,2023-01-18 18:15:35,4,1000,,10TH,AVE,,,,SELENF,K,524,3,1000,"1000 10TH AVE San Diego, California",32.7157707,-117.1556102,92101,92101
23483,E23010025198,2023-01-18 18:15:46,4,6400,,ANTIGUA,BLV,,,,CW,K,312,1,6400,"6400 ANTIGUA BLV San Diego, California",32.8364821,-117.0921436,92124,92124
23484,E23010025199,2023-01-18 18:16:49,4,5400,,DEL CERRO,BLV,,,,415V,DUP,323,1,5400,"5400 DEL CERRO BLV San Diego, California",32.7836182,-117.0831009,4508,92120
23485,E23010025200,2023-01-18 18:16:53,4,0,,PALM,AVE,,SATURN,,1183,R,722,0,,"PALM AVE San Diego, California",32.8028335,-117.1404344,92123,92123
23486,E23010025201,2023-01-18 18:18:03,4,2600,,CAMINO DEL RIO SOUTH,,,,,11-8,K,315,0,2600,"2600 CAMINO DEL RIO SOUTH San Diego, California",32.7698211,-117.1356984,92108,92108
23487,E23010025202,2023-01-18 18:18:47,4,1300,,EL PRADO,,,,,1185,R,531,3,1300,"1300 EL PRADO San Diego, California",32.7315236,-117.1528255,92101,92101
23488,E23010025203,2023-01-18 18:19:04,4,100,,ALVERSON,RD,,,,415,K,712,2,100,"100 ALVERSON RD San Diego, California",32.5559064,-117.0512941,92173,92173
23489,E23010025204,2023-01-18 18:19:22,4,2600,,NEWTON,AVE,,,,MPSSTP,R,511,2,2600,"2600 NEWTON AVE San Diego, California",32.6948657,-117.1380701,92113,92113
23490,E23010025205,2023-01-18 18:19:25,4,100,,ELM,ST,,,,SELENF,K,529,3,100,"100 ELM ST San Diego, California",32.72429630000001,-117.1635176,2602,92101
23491,E23010025206,2023-01-18 18:19:46,4,1900,,INDIA,ST,,,,AU1,O,528,1,1900,"1900 INDIA ST San Diego, California",32.7244229,-117.1685881,2215,92101
23492,E23010025207,2023-01-18 18:21:51,4,0,,26TH,ST,,ISLAND,,SLEEPER,K,515,3,,"26TH ST San Diego, California",32.7143765,-117.138189,United States,92102
23493,E23010025208,2023-01-18 18:21:54,4,1200,,TURQUOISE,ST,,,,1149,O,122,2,1200,"1200 TURQUOISE ST San Diego, California",32.8105527,-117.2518034,92109,92109
23494,E23010025209,2023-01-18 18:22:01,4,4000,,TAYLOR,ST,,,,MPSSTP,K,625,2,4000,"4000 TAYLOR ST San Diego, California",32.7557286,-117.200927,92110,92110
23495,E23010025210,2023-01-18 18:23:07,4,0,,STATE ROUTE 163 NB,,,INTERSTATE 8 WB,,1151,K,315,2,,"STATE ROUTE 163 NB San Diego, California",32.7963524,-117.1572294,United States,92133
23496,E23010025211,2023-01-18 18:23:19,4,0,S,EVANS,ST,,LOGAN,,10851,K,511,1,,"S EVANS ST San Diego, California",32.7008033,-117.1394013,92113,92113
23497,E23010025212,2023-01-18 18:23:53,4,4000,,TAYLOR,ST,,,,MPSSTP,K,625,2,4000,"4000 TAYLOR ST San Diego, California",32.7557286,-117.200927,92110,92110
23498,E23010025213,2023-01-18 18:24:42,4,1700,,EUCLID,AVE,,,,459C,K,447,2,1700,"1700 EUCLID AVE San Diego, California",32.72308050000001,-117.0852552,92105,92105
23499,E23010025214,2023-01-18 18:24:49,4,8100,,CAMINITO SANTALUZ,,,,,AU23152,K,937,2,8100,"8100 CAMINITO SANTALUZ San Diego, California",32.9863317,-117.1541548,92127,92127
23500,E23010025215,2023-01-18 18:24:56,4,0,,DAWES,ST,,GARNET,,1150,O,122,2,,"DAWES ST San Diego, California",32.8015246,-117.2511632,92109,92109
23501,E23010025217,2023-01-18 18:28:09,4,19200,,SAN PASQUAL VALLEY,RD,,,,1183,R,235,0,19200,"19200 SAN PASQUAL VALLEY RD San Diego, California",33.1019698,-117.0345331,92027,92027
23502,E23010025218,2023-01-18 18:28:58,4,0,,05TH,AVE,,UPAS,,415V,K,529,1,,"05TH AVE San Diego, California",32.7313918,-117.1602848,United States,92101
23503,E23010025219,2023-01-18 18:29:32,4,5300,,ORANGE,AVE,,,,1186,O,826,3,5300,"5300 ORANGE AVE San Diego, California",32.7536842,-117.0809812,92115,92105
23504,E23010025220,2023-01-18 18:30:43,4,5400,,MOUND,AVE,,,,CW,K,322,1,5400,"5400 MOUND AVE San Diego, California",32.797243,-117.075897,92120,92120
23505,E23010025221,2023-01-18 18:31:01,4,0,,ROSECRANS,ST,,MACAULAY,,415,K,615,2,,"ROSECRANS ST San Diego, California",32.7247316,-117.2291031,United States,92106
23506,E23010025222,2023-01-18 18:31:01,4,6200,,AKINS,AVE,,,,1021,K,433,3,6200,"6200 AKINS AVE San Diego, California",32.7101873,-117.0639801,92114,92114
23507,E23010025224,2023-01-18 18:35:44,4,100,,14TH,ST,,,,FU,K,521,2,100,"100 14TH ST San Diego, California",32.7063039,-117.151893,92101,92101
23508,E23010025225,2023-01-18 18:36:33,4,1700,,KLAUBER,AVE,,,,CW,K,433,1,1700,"1700 KLAUBER AVE San Diego, California",32.723235,-117.0547605,2120,92114
23509,E23010025226,2023-01-18 18:37:00,4,0,,25TH,ST,,IMPERIAL,,FD,K,514,2,,"25TH ST San Diego, California",32.7125073,-117.1402608,United States,92102
23510,E23010025227,2023-01-18 18:39:10,4,1200,,IMPERIAL,AVE,,,,1140OD,K,541,0,1200,"1200 IMPERIAL AVE San Diego, California",32.7062869,-117.1534368,92101,92101
23511,E23010025228,2023-01-18 18:40:01,4,4900,,PACIFIC,HWY,,,,T,O,622,2,4900,"4900 PACIFIC HWY San Diego, California",32.7628913,-117.2036462,4001,92110
23512,E23010025229,2023-01-18 18:40:36,4,700,,PROSPECT,ST,,,,415,K,124,2,700,"700 PROSPECT ST San Diego, California",32.844357,-117.2781745,4228,92037
23513,E23010025230,2023-01-18 18:40:44,4,1800,,GARNET,AVE,,,,415,K,122,2,1800,"1800 GARNET AVE San Diego, California",32.8006756,-117.2375124,3352,92109
23514,E23010025231,2023-01-18 18:42:55,4,0,,SAN JACINTO,DR,,,,586,O,432,4,,"SAN JACINTO DR San Diego, California",32.7034774,-117.0809495,92114,92114
23515,E23010025232,2023-01-18 18:43:05,4,0,,LA JOLLA SHORES,DR,,CAMINO DEL COLLADO,,10851R,R,124,2,,"LA JOLLA SHORES DR San Diego, California",32.8644361,-117.2524296,92037,92037
23516,E23010025233,2023-01-18 18:43:42,4,0,,CARMEL MOUNTAIN,RD,,,,MPSSTP,K,-1,2,,"CARMEL MOUNTAIN RD San Diego, California",32.9509174,-117.152022,United States,92129
23517,E23010025234,2023-01-18 18:45:05,4,4300,,44TH,ST,,,,415,K,824,2,4300,"4300 44TH ST San Diego, California",32.7551377,-117.1002274,4306,92105
23518,E23010025235,2023-01-18 18:46:49,4,6500,,IMPERIAL,AVE,,,,5150,A,452,2,6500,"6500 IMPERIAL AVE San Diego, California",32.710603,-117.0580396,92114,92114
23519,E23010025236,2023-01-18 18:48:06,4,300,,WASHINGTON,ST,,,,CW,K,627,1,300,"300 WASHINGTON ST San Diego, California",32.7499705,-117.1627768,92103,92103
23520,E23010025237,2023-01-18 18:48:16,4,2900,,BARNARD,ST,,,,459A,K,613,2,2900,"2900 BARNARD ST San Diego, California",32.7513547,-117.2252442,5733,92110
23521,E23010025238,2023-01-18 18:48:53,4,2200,,CAMINITO PRECIOSA SUR,,,,,459A,K,122,2,2200,"2200 CAMINITO PRECIOSA SUR San Diego, California",32.8185838,-117.2349723,92037,92037
23522,E23010025239,2023-01-18 18:50:12,4,5600,,GENESEE,AVE,,,,T,O,114,2,5600,"5600 GENESEE AVE San Diego, California",32.8459082,-117.2013257,92117,92117
23523,E23010025240,2023-01-18 18:50:28,4,3100,,CLAIREMONT,DR,,,,AU1171,W,116,1,3100,"3100 CLAIREMONT DR San Diego, California",32.7972958,-117.1936439,6411,92117
23524,E23010025241,2023-01-18 18:50:49,4,1300,,B,ST,,,,FU,K,521,2,1300,"1300 B ST San Diego, California",32.7178462,-117.1526519,92101,92134
23525,E23010025242,2023-01-18 18:51:05,4,0,,MISSISSIPPI,ST,,UNIVERSITY,,415N,K,813,3,,"MISSISSIPPI ST San Diego, California",32.7521651,-117.1412882,United States,92104
23526,E23010025243,2023-01-18 18:51:52,4,3700,,NEWTON,AVE,,,,1153,A,442,2,3700,"3700 NEWTON AVE San Diego, California",32.6949837,-117.1145977,3225,92113
23527,E23010025244,2023-01-18 18:52:09,4,800,,G,ST,,,,415PP,K,524,2,800,"800 G ST San Diego, California",32.7125811,-117.15741,6421,92101
23528,E23010025245,2023-01-18 18:52:55,4,300,,WINEWOOD,ST,,,,5150,A,436,2,300,"300 WINEWOOD ST San Diego, California",32.7076231,-117.042921,92114,92114
23529,E23010025246,2023-01-18 18:53:03,4,5400,,LA JOLLA,BLV,,,,470R,CAN,124,3,5400,"5400 LA JOLLA BLV San Diego, California",32.8109589,-117.2670948,92037,92037
23530,E23010025247,2023-01-18 18:53:09,4,9800,,MIRA LEE,WAY,,,,FD,K,242,2,9800,"9800 MIRA LEE WAY San Diego, California",32.9222933,-117.1182485,92126,92126
23531,E23010025249,2023-01-18 18:54:48,4,4000,,EUCLID,AVE,,,,415N,K,826,3,4000,"4000 EUCLID AVE San Diego, California",32.7495499,-117.0923034,92105,92105
23532,E23010025250,2023-01-18 18:55:07,4,1200,,IMPERIAL,AVE,,,,FD,K,541,2,1200,"1200 IMPERIAL AVE San Diego, California",32.7062869,-117.1534368,92101,92101
23533,E23010025251,2023-01-18 18:55:55,4,4700,,RUFFIN,RD,,,,1186,K,313,3,4700,"4700 RUFFIN RD San Diego, California",32.8241614,-117.1285655,92123,92123
23534,E23010025252,2023-01-18 18:56:32,4,300,,PARK,BLV,,,,FU,K,521,2,300,"300 PARK BLV San Diego, California",32.7083803,-117.1541313,7416,92101
23535,E23010025253,2023-01-18 18:57:44,4,2400,,LINCOLN,AVE,,,,586,O,813,4,2400,"2400 LINCOLN AVE San Diego, California",32.7504457,-117.1386846,2420,92104
23536,E23010025254,2023-01-18 18:57:58,4,1300,,GARNET,AVE,,,,459A,O,122,3,1300,"1300 GARNET AVE San Diego, California",32.7987302,-117.2462754,3011,92109
23537,E23010025255,2023-01-18 18:59:21,4,0,,15TH,ST,,K,,FU,K,521,2,,"15TH ST San Diego, California",32.7109991,-117.1503583,92101,92101
23538,E23010025256,2023-01-18 18:59:37,4,0,,GATEWAY CENTER,WAY,,MARKET,,415,K,444,2,,"GATEWAY CENTER WAY San Diego, California",32.7131797,-117.1123641,92102,92102
23539,E23010025257,2023-01-18 18:59:42,4,9200,,CLOVER GLEN,CT,,,,5150,A,242,2,9200,"9200 CLOVER GLEN CT San Diego, California",32.9258744,-117.1264523,5545,92126
23540,E23010025258,2023-01-18 19:00:02,4,5800,,IMPERIAL,AVE,,,,459A,U,432,3,5800,"5800 IMPERIAL AVE San Diego, California",32.7092597,-117.0712227,92114,92114
23541,E23010025259,2023-01-18 19:01:08,4,4400,,TAYLOR,ST,,,,T,K,623,2,4400,"4400 TAYLOR ST San Diego, California",32.7595576,-117.1963099,92103,92103
23542,E23010025260,2023-01-18 19:01:53,4,0,,BERNARDO CENTER,DR,,CAMINO DEL NORTE,,1182,K,234,2,,"BERNARDO CENTER DR San Diego, California",33.0108171,-117.0858117,United States,92128
23543,E23010025261,2023-01-18 19:01:56,4,5700,,LYDEN,WAY,,,,415,DUP,323,2,5700,"5700 LYDEN WAY San Diego, California",32.7847324,-117.0743739,4544,92120
23544,E23010025262,2023-01-18 19:03:08,4,500,,F,ST,,,,415,K,523,2,500,"500 F ST San Diego, California",32.7137762,-117.1599694,92101,92101
